Iterations,Activation,Dropout,Optimizer,lr_decay_val,Weight_Initialization,Train_loss,Train_accuracy,Test_loss,Test_accuracy
453,tanh,0.5,Adagrad,0.5,RandomUniform,7.047359104,0.327366667,6.978148764,0.3298
454,tanh,0.5,RMSprop,0.01,glorot_uniform,0.018427967,0.9946,0.031867354,0.9902
455,tanh,0.5,RMSprop,0.01,RandomUniform,0.017848976,0.994616667,0.029414366,0.9898
456,tanh,0.5,RMSprop,0.1,glorot_uniform,0.156639859,0.953716667,0.14725676,0.9566
457,tanh,0.5,RMSprop,0.1,RandomUniform,0.246972851,0.927083333,0.250428533,0.9258
458,tanh,0.5,RMSprop,0.5,glorot_uniform,14.51756834,0.0993,14.45470776,0.1032
459,tanh,0.5,RMSprop,0.5,RandomUniform,14.51756834,0.0993,14.45470776,0.1032
500,sigmoid,0.2,SGD,0.01,glorot_uniform,2.301114494,0.112366667,2.300978508,0.1135
501,sigmoid,0.2,SGD,0.01,RandomUniform,2.301159283,0.112366667,2.301021317,0.1135
502,sigmoid,0.2,SGD,0.1,glorot_uniform,2.30064307,0.112366667,2.300497216,0.1135
503,sigmoid,0.2,SGD,0.1,RandomUniform,2.301159036,0.112366667,2.301016498,0.1135
504,sigmoid,0.2,SGD,0.5,glorot_uniform,2.300999998,0.112366667,2.300844822,0.1135
505,sigmoid,0.2,SGD,0.5,RandomUniform,2.3011595,0.112366667,2.301023611,0.1135
506,sigmoid,0.2,Adadelta,0.01,glorot_uniform,2.303031746,0.102183333,2.302590202,0.101
507,sigmoid,0.2,Adadelta,0.01,RandomUniform,2.30145738,0.112366667,2.301286048,0.1135
508,sigmoid,0.2,Adadelta,0.1,glorot_uniform,2.301385317,0.112366667,2.301219294,0.1135
509,sigmoid,0.2,Adadelta,0.1,RandomUniform,2.301401877,0.112366667,2.301229113,0.1135
510,sigmoid,0.2,Adadelta,0.5,glorot_uniform,2.304432721,0.0993,2.303787956,0.1032
511,sigmoid,0.2,Adadelta,0.5,RandomUniform,2.301206636,0.112366667,2.301168602,0.1135
512,sigmoid,0.2,Adam,0.01,glorot_uniform,0.024876838,0.99245,0.032249454,0.989
513,sigmoid,0.2,Adam,0.01,RandomUniform,0.070064778,0.978333333,0.066788415,0.979
514,sigmoid,0.2,Adam,0.1,glorot_uniform,2.301162339,0.112366667,2.301037695,0.1135
515,sigmoid,0.2,Adam,0.1,RandomUniform,2.30115928,0.112366667,2.301019498,0.1135
516,sigmoid,0.2,Adam,0.5,glorot_uniform,7.519105436,0.112366667,7.509372476,0.1135
517,sigmoid,0.2,Adam,0.5,RandomUniform,10.01020438,0.112366667,10.03312419,0.1135
518,sigmoid,0.2,Adagrad,0.01,glorot_uniform,0.624418852,0.841433333,0.608142038,0.8508
519,sigmoid,0.2,Adagrad,0.01,RandomUniform,0.977321755,0.7206,0.970942721,0.7271
520,sigmoid,0.2,Adagrad,0.1,glorot_uniform,2.301159174,0.112366667,2.301019002,0.1135
521,sigmoid,0.2,Adagrad,0.1,RandomUniform,2.301159201,0.112366667,2.301018766,0.1135
522,sigmoid,0.2,Adagrad,0.5,glorot_uniform,10.13793555,0.112366667,10.15225623,0.1135
523,sigmoid,0.2,Adagrad,0.5,RandomUniform,7.317171433,0.112366667,7.313805725,0.1135
524,sigmoid,0.2,RMSprop,0.01,glorot_uniform,0.027429652,0.991783333,0.034662462,0.9889
525,sigmoid,0.2,RMSprop,0.01,RandomUniform,0.045795473,0.985583333,0.048342751,0.9842
526,sigmoid,0.2,RMSprop,0.1,glorot_uniform,10.31354939,0.098633333,10.34183413,0.0958
527,sigmoid,0.2,RMSprop,0.1,RandomUniform,8.645947203,0.112366667,8.69897358,0.1135
528,sigmoid,0.2,RMSprop,0.5,glorot_uniform,14.66182524,0.09035,14.68036102,0.0892
529,sigmoid,0.2,RMSprop,0.5,RandomUniform,14.51998605,0.09915,14.49177937,0.1009
530,sigmoid,0.5,SGD,0.01,glorot_uniform,2.300907399,0.112366667,2.300768943,0.1135
531,sigmoid,0.5,SGD,0.01,RandomUniform,2.3011593,0.112366667,2.301018966,0.1135
532,sigmoid,0.5,SGD,0.1,glorot_uniform,2.300457263,0.112366667,2.300285709,0.1135
533,sigmoid,0.5,SGD,0.1,RandomUniform,2.301159196,0.112366667,2.301019705,0.1135
534,sigmoid,0.5,SGD,0.5,glorot_uniform,2.301033226,0.112366667,2.300886987,0.1135
535,sigmoid,0.5,SGD,0.5,RandomUniform,2.301158539,0.112366667,2.301016982,0.1135
